Customer_ID,PAN_Number,Cleaned_PAN,Status,Duplicate
1,12345ABCDE,12345ABCDE,False,True
2,JEKRG6187X,JEKRG6187X,True,False
3,ABCDE12F4F,ABCDE12F4F,False,True
4,12345ABCDE,12345ABCDE,False,True
5,CMYJV3929I,CMYJV3929I,True,False
6,ABCDE12F4F,ABCDE12F4F,False,True
7,SFMIL1034Y,SFMIL1034Y,True,False
8,BGCBN3091T,BGCBN3091T,True,False
9,,,False,False
10,HRUBI7248A,HRUBI7248A,True,False
11,abcde1234f,ABCDE1234F,True,True
12, ABCDE1234F ,ABCDE1234F,True,True
13,AB@DE1234F,AB@DE1234F,False,False
14,QJGWB4385A,QJGWB4385A,True,False
15,IBPKF5135B,IBPKF5135B,True,False
16,ABCDE12F4F,ABCDE12F4F,False,True
17,NXUVU4789Z,NXUVU4789Z,True,False
18,CSAKZ3639S,CSAKZ3639S,True,False
19,RYNPA3292H,RYNPA3292H,True,False
20,AB12E1234F,AB12E1234F,False,False
